,Year,Ethnicity,Gender,Protected_7,Protected_6,Protected_8,Athlete,Program,Protected_5,Next_Fall_Not_Discontinued,Four_Year_Not_Discontinued,Four_Year_Completed,Six_Year_Completed
1,2012-13,White,Female,0,8.392989588,1,Not an Athlete,Undeclared,53,1,1,1,1
2,2012-13,White,Male,0,11.51291546,0,Not an Athlete,Undeclared,89,1,1,1,1
3,2012-13,Asian,Female,0,9.702227795,0,Not an Athlete,Health & Human Performance,74,1,1,1,1
4,2012-13,White,Female,0,8.683893367,0,Not an Athlete,Art & Design,74,1,0,0,0
5,2012-13,White,Female,0,11.51291546,0,Not an Athlete,Undergrad Social Work,99,1,1,1,1
6,2012-13,White,Female,0,7.062191632,1,Not an Athlete,Nursing,74,1,0,0,0
7,2012-13,American Indian or Alaskan Native,Female,0,7.780720886,1,Soccer,Health & Human Performance,47,1,1,1,1
8,2012-13,White,Female,0,0,1,Not an Athlete,Undergrad Teacher Education,55,1,1,1,1
9,2012-13,Black or African American,Female,0,8.96200721,0,Not an Athlete,Biology,48,1,1,1,1
10,2012-13,White,Male,0,11.37458252,0,Not an Athlete,Biology,95,1,1,1,1
11,2012-13,White,Male,0,11.42235503,0,Not an Athlete,International Studies,51,1,1,1,1
12,2012-13,White,Male,0,9.241548299,0,Not an Athlete,Art & Design,91,1,1,1,1
13,2012-13,White,Female,0,8.18339737,1,Not an Athlete,English,91,1,1,1,1
14,2012-13,White,Female,1,0,1,Not an Athlete,Business,55,0,0,0,0
15,2012-13,White,Female,0,9.8667717,0,Soccer,Biology,97,1,1,1,1
16,2012-13,White,Female,0,9.969602955,0,Not an Athlete,Undergrad Teacher Education,98,1,1,1,1
17,2012-13,White,Female,1,8.064321961,1,Not an Athlete,Undergrad Teacher Education,79,1,1,1,1
18,2012-13,White,Male,0,8.082402254,1,Not an Athlete,Undeclared,99,1,1,1,1
19,2012-13,White,Female,0,0,1,Not an Athlete,Business,7,1,1,1,1
20,2012-13,White,Female,0,10.98142083,0,Not an Athlete,Chemistry,83,1,1,1,1
21,2012-13,White,Female,0,9.964347441,0,Not an Athlete,Undeclared,93,1,1,1,1
22,2012-13,Black or African American,Male,0,0,1,Not an Athlete,Music,85,1,1,0,1
23,2012-13,White,Male,0,6.953684211,1,Not an Athlete,Engineering,65,1,0,0,0
24,2012-13,White,Male,0,10.00459905,0,Not an Athlete,Biblical Studies,79,1,0,0,0
25,2012-13,White,Female,0,0,1,Not an Athlete,Chemistry,99,1,1,1,1
26,2012-13,White,Female,1,0,1,Not an Athlete,Biology,74,0,0,0,0
27,2012-13,White,Female,1,0,1,Not an Athlete,Nursing,59,1,0,0,0
28,2012-13,White,Male,0,7.305860033,1,Not an Athlete,Nursing,70,1,0,0,0
29,2012-13,White,Female,0,10.06002111,0,Not an Athlete,Business,47,0,0,0,0
30,2012-13,White,Female,0,8.976514972,0,Not an Athlete,Undergrad Teacher Education,12,1,1,1,1
31,2012-13,White,Female,0,9.578380487,0,Soccer,Biochemistry,57,1,1,1,1
